Label	slice	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	FWHM_Mean	Source_Radius	FWHM_Mult	Source_Rad(base)	Sky_Rad(min)	Sky_Rad(max)	rel_flux_T1	rel_flux_C2	rel_flux_T3	rel_flux_err_T1	rel_flux_err_C2	rel_flux_err_T3	rel_flux_SNR_T1	rel_flux_SNR_C2	rel_flux_SNR_T3	tot_C_cnts	tot_C_err	X(IJ)_T1	Y(IJ)_T1	X(FITS)_T1	Y(FITS)_T1	RA_T1	DEC_T1	Source-Sky_T1	N_Src_Pixels_T1	Source_Error_T1	Source_AMag_T1	Source_AMag_Err_T1	Source_SNR_T1	Peak_T1	Mean_T1	Sky/Pixel_T1	N_Sky_Pixels_T1	FWHM_T1	Width_T1	X-Width_T1	Y-Width_T1	Angle_T1	Roundness_T1	X(IJ)_C2	Y(IJ)_C2	X(FITS)_C2	Y(FITS)_C2	RA_C2	DEC_C2	Source-Sky_C2	Source_Error_C2	Source_AMag_C2	Source_AMag_Err_C2	Source_SNR_C2	Peak_C2	Mean_C2	Sky/Pixel_C2	FWHM_C2	Width_C2	X-Width_C2	Y-Width_C2	Angle_C2	Roundness_C2	X(IJ)_T3	Y(IJ)_T3	X(FITS)_T3	Y(FITS)_T3	RA_T3	DEC_T3	Source-Sky_T3	Source_Error_T3	Source_AMag_T3	Source_AMag_Err_T3	Source_SNR_T3	Peak_T3	Mean_T3	Sky/Pixel_T3	FWHM_T3	Width_T3	X-Width_T3	Y-Width_T3	Angle_T3	Roundness_T3	N_Src_Pixels_C2	N_Sky_Pixels_C2	N_Src_Pixels_T3	N_Sky_Pixels_T3
AD Leo_2026-01-19_Light_B_p001_calibrated.fits	1	0	61060.40528248809	2461060.405282488	NaN	NaN	0	1.398397	NaN	-20.1	20	NaN	NaN	4.3636638416866615	7.839663631106435	1.3	8	12	20	2.093799639623027	0	0.271508429739649	0.0112073324360977	0	0.0031820454590536	186.82408606700292	0	85.32512600256801	20382.589064920547	91.56595663296832	942.3286056940244	780.7673980903415	942.8286056940244	723.7326019096585	10.326497638336424	19.869641342171317	42677.0576387149	193.08330817411692	124.19921964336737	10.811662198201356	0.0057960447372138	343.61775992844565	1916	221.0292440205653	25.38818565400844	711	4.439969875578406	5.780195660043287	6.174964338715963	5.3854269813706095	17.56692419847209	0.9723615608995101	921.4435383515581	848.5362467530928	921.9435383515581	655.9637532469072	10.326760363473204	19.894773810110475	20382.589064920547	91.56595663296832	11.614	0.0048665963434315	222.60007774092097	1004	105.56370334477654	24.941761363636363	4.437831430146927	5.608622898829816	5.958297777154435	5.258948020505199	18.66978042935974	0.975593107472983	940.5202079082871	946.8202620087336	941.0202079082871	557.6797379912664	10.325902026858923	19.928531647584137	5534.044751045119	59.90439485595735	13.029541704943085	0.0126507066036905	92.38128127914426	289	28.661435332642405	23.211287988422576	4.213190219334651	5.619014959216125	5.958269340529067	5.279760577903184	19.869238086036656	0.9755200357499226	193.08330817411692	704	193.08330817411698	691
AD Leo_2026-01-19_Light_B_p002_calibrated.fits	2	0	61060.40569053218	2461060.405690532	NaN	NaN	0	1.396009	NaN	-20.2	20	NaN	NaN	4.243017472060657	7.477438020165362	1.3	8	12	20	2.0871632760122583	0	0.2674703982634873	0.0110310062573836	0	0.0030826627122623	189.20878361529435	0	86.76602769402358	20376.02271475626	90.1666846234762	943.7268554598545	782.2462874196417	944.2268554598545	722.2537125803583	10.32649220278952	19.869673030558282	42528.086321430856	175.65297771848384	122.8992153302227	10.815108938312065	0.0057231863390535	346.04034051121056	1985	242.1142349752244	24.810918774966712	751	4.349645406839052	5.7278850782087005	5.709856991560365	5.745913164857037	311.7966434042686	0.9968176527699386	922.6486642221058	849.95053841552	923.1486642221058	654.54946158448	10.326760352590911	19.894796184843873	20376.02271475626	90.1666846234762	11.614	0.0047939319609644	225.9817226267524	988	116.00157867754783	24.541208791208792	4.269160844038336	5.74533064240411	5.633830694220803	5.856830590587418	293.8165590554255	0.9966849281793323	941.706904915912	948.1743641753784	942.206904915912	556.3256358246216	10.325903156974316	19.928534437067135	5449.98291054172	57.99803870605708	13.045810689080664	0.0124418185939418	93.96840017578984	281	31.026988448076995	23.48971193415638	4.110246165304585	5.777736977463955	5.911938514600439	5.643535440327471	328.8908130602874	0.9900773594885867	175.65297771848384	728	175.65297771848373	729
AD Leo_2026-01-19_Light_B_p003_calibrated.fits	3	0	61060.40609887708	2461060.406098877	NaN	NaN	0	1.393637	NaN	-20.1	20	NaN	NaN	4.252623753860276	7.334460762504316	1.3	8	12	20	2.0925546989645087	0	0.2721166945593333	0.0110499901221493	0	0.0030873805095258	189.37163525332608	0	88.13837287621163	20232.72479292877	89.43714047239811	943.3661589734508	782.794306049822	943.8661589734508	721.705693950178	10.326496391529691	19.8696235622245	42338.08333829881	168.99982379326661	122.30397880751642	10.812307952036914	0.0057182775775131	346.1709402351581	1982	250.5214643897497	24.6021650879567	739	4.379273795215629	5.579973154164267	5.417629414675594	5.74231689365294	277.12720276637066	0.9964017245931424	922.3941464409545	850.6131156039398	922.8941464409545	653.8868843960602	10.326761346342938	19.89477593691296	20232.72479292877	89.43714047239811	11.614	0.0047888334414771	226.22284976981064	1033	119.72038987258922	24.44959128065395	4.238104304987138	5.490361071063315	5.427304343784431	5.553417798342199	297.9423632871886	0.9983231354695099	941.4479141548107	948.8833271306289	941.9479141548107	555.6166728693711	10.325903958007757	19.928526158835144	5505.662192580448	57.5300799496733	13.027112032792573	0.0122491837980571	95.7005830236416	306	32.57791676348366	23.356125356125357	4.140493161378061	5.461238272220091	5.2925325537330545	5.629943990707127	289.37182241434016	0.993737164704402	168.9998237932667	734	168.99982379326673	702
AD Leo_2026-01-19_Light_B_p004_calibrated.fits	4	0	61060.40650766203	2461060.406507662	NaN	NaN	0	1.391277	NaN	-20	20	NaN	NaN	3.6811505097345933	6.151122449085271	1.3	8	12	20	2.1262967070422767	0	0.2754353073831244	0.0109366486766831	0	0.0028871814641895	194.41940304579106	0	95.39937506506607	19991.468141016652	85.87724967415959	943.4806604048772	783.5776685702726	943.9806604048772	720.9223314297274	10.326493641048895	19.869660857995743	42507.79287718429	118.86626531541114	120.2512165281532	10.794940333492017	0.0055701924446979	353.4915829082891	3254	357.61023335249945	24.577868852459016	732	3.705549378219382	4.732799601912794	4.743759740489186	4.721839463336402	28.676612846494553	0.9999262884836508	922.4506217544724	851.3099389316443	922.9506217544724	653.1900610683557	10.326760494418837	19.894797571868484	19991.468141016652	85.87724967415959	11.614	0.0046540026361798	232.79120159145097	1588	168.18453989421957	24.393305439330543	3.605446710810932	4.683998152890407	4.767675640945226	4.600320664835588	346.0160414895939	0.9983645458067807	941.496350877193	949.6001712328767	941.996350877193	554.8998287671233	10.325902978628713	19.92857079179543	5506.35617246086	52.6496768734723	13.013950973389296	0.0113217217764813	104.58480468348807	423	46.3239604428537	23.33746556473829	3.7324554401734664	4.737887150521261	4.683462577993136	4.792311723049386	70.52456894753531	0.9991275146736337	118.86626531541114	717	118.86626531541116	726
AD Leo_2026-01-19_Light_B_p005_calibrated.fits	5	0	61060.4069161918	2461060.406916192	NaN	NaN	0	1.388928	NaN	-20	20	NaN	NaN	3.914238282054056	6.769229164131227	1.3	8	12	20	2.0862206895920767	0	0.2641413251822828	0.0108559999453962	0	0.0029322040132058	192.17213523262706	0	90.08286053516913	20183.172715431374	87.62759235582577	943.0471563040459	783.3408631248107	943.5471563040459	721.1591368751893	10.326494544907716	19.869571897162594	42106.55250054323	143.95551462723677	120.78438170741329	10.815599379751598	0.0056351617255713	348.6092481935426	2425	292.4969745658952	24.403462050599202	751	3.9501943340356247	5.189950433577435	5.140006419650572	5.239894447504299	67.8087805752782	0.9992749162932082	922.0641012423321	851.1717143004806	922.5641012423321	653.3282856995194	10.326759787998185	19.894734731442	20183.172715431374	87.62759235582577	11.614	0.004703646700039	230.3289657152098	1151	140.20423439626018	23.677991137370753	3.9626461748687705	5.223932161352032	5.216940630196099	5.2309236925079645	47.37604776191998	0.9989560517296601	941.0575700100413	949.4462579190379	941.5575700100413	555.0537420809621	10.325903752381455	19.928494900040103	5331.209987436936	54.46716065222878	13.059409119146462	0.0119862325541884	97.87934461053617	333	37.03373226959558	23	3.829874337257774	5.121744485829101	5.093009040598402	5.150479931059799	52.009107792424864	0.9978542676959686	143.95551462723682	677	143.95551462723674	690
AD Leo_2026-01-19_Light_B_p006_calibrated.fits	6	0	61060.40732436348	2461060.4073243635	NaN	NaN	0	1.386631	NaN	-19.9	20	NaN	NaN	4.059460313875978	7.1055209579029075	1.3	8	12	20	2.058430829315445	0	0.2732443023573248	0.0108516066559723	0	0.003036888186116	189.68903818335167	0	89.97509477185994	20113.002410452136	88.39125818700782	943.0862505230991	782.1215653169832	943.5862505230991	722.3784346830168	10.326497907000402	19.869630572735616	41401.22423177054	158.61407475746972	120.54836582670877	10.8301593056975	0.0057087344069654	343.4407753920597	2192	261.01860314146427	24.416666666666668	744	4.050894662826643	5.339390454801304	5.292357119924341	5.386423789678267	64.21159366487719	0.999196496836923	922.0412224027905	849.726995337356	922.5412224027905	654.773004662644	10.32676507020764	19.894722396738008	20113.002410452136	88.39125818700782	11.614	0.0047610656398653	227.5451534799902	1116	126.80465110808167	24.046666666666667	4.068105327964826	5.307687535866183	5.18240176981302	5.432973301919347	76.65398444772427	0.9972110282777684	941.2372953305033	948.1817296163069	941.7372953305033	556.3182703836931	10.325902744813993	19.928544349529005	5495.7633119551865	56.10296215248704	13.022622212792145	0.0120005097626137	97.95852306368033	323	34.648648427691775	22.654390934844194	4.0593809508364656	5.414016164310679	5.250073363519957	5.577958965101402	73.08266498374306	0.994693895789708	158.61407475746975	750	158.61407475746967	706
AD Leo_2026-01-19_Light_B_p007_calibrated.fits	7	0	61060.40773291653	2461060.4077329165	NaN	NaN	0	1.38428	NaN	-19.9	20	NaN	NaN	3.979731374154681	7.037970082417904	1.3	8	12	20	2.1139598633247774	0	0.2749399320478624	0.0111486971493603	0	0.0030485446394283	189.6149689065759	0	90.18727444300195	19871.313508200452	87.73700048832089	943.0287312105096	783.2745289443814	943.5287312105096	721.2254710556186	10.326497057838736	19.869696679804953	42007.15918787923	155.61258079307444	121.1593773262304	10.801258156694056	0.0057109585547046	346.7099296389739	2501	269.94706323737523	24.183310533515733	731	3.9879579954054885	5.152837093766404	5.306006862016567	4.999667325516243	356.78560626960626	0.9964270638801093	922.131277370769	850.8276961731735	922.631277370769	653.6723038268265	10.326761069266484	19.894753107290235	19871.313508200452	87.73700048832089	11.614	0.0047832549036611	226.48726760206057	1180	127.6973455933122	23.872628726287264	3.97920383455952	5.139176341503342	5.32576773502967	4.952584947977013	5.3982038509326	0.9945496485513672	941.1634146341463	949.2726212686567	941.6634146341463	555.2273787313433	10.325903020892538	19.928568626462567	5463.417585646403	55.56864848320776	13.015905447512205	0.0119724317782037	98.31834559189231	329	35.109099520117645	22.482142857142858	3.9720322924990343	5.087217692178921	5.609694823918158	4.564740560439685	355.04501517693745	0.957422762846047	155.6125807930745	738	155.61258079307456	728
AD Leo_2026-01-19_Light_B_p008_calibrated.fits	8	0	61060.40814210614	2461060.408142106	NaN	NaN	0	1.381952	NaN	-20	20	NaN	NaN	4.0739898774492245	7.248382931524745	1.3	8	12	20	2.0790034361200393	0	0.2777148697047375	0.0109273807410969	0	0.0030542470673878	190.2563373033289	0	90.92744089700038	20360.678483819385	89.44179564205237	942.977221855873	783.765217603197	943.477221855873	720.734782396803	10.326494218091906	19.86962218533433	42329.92052959585	165.05630959788488	122.16372649409236	10.81936198219473	0.0056917568590279	346.5015495548334	2305	256.4574515977079	24.54727793696275	698	4.094589281054864	5.2500306559618615	5.073408408664427	5.426652903259295	274.9717579394006	0.995344233949724	922.0249762362024	851.4948853379689	922.5249762362024	653.0051146620311	10.326759003558825	19.894753888940073	20360.678483819385	89.44179564205237	11.614	0.004759051729952	227.64165609222758	1121	123.35595369497035	24.470262793914245	3.925874741816373	5.242211204869999	5.081092957148687	5.403329452591312	278.8086180533261	0.995848321791958	941.1934463411723	949.7622107969152	941.6934463411723	554.7377892030848	10.32589852667586	19.928513124346004	5654.463172233953	57.01030103354179	13.005002165426069	0.0118755049726202	99.18318391104742	296	34.25778260770234	22.561475409836067	4.201505609476435	5.5241727747206735	5.151290371004078	5.8970551784372685	270.75940545796504	0.9819271794107287	165.05630959788493	723	165.05630959788488	732
AD Leo_2026-01-19_Light_B_p009_calibrated.fits	9	0	61060.408550902735	2461060.4085509027	NaN	NaN	0	1.379668	NaN	-20	20	NaN	NaN	3.734619692879361	6.30748370163379	1.3	8	12	20	2.090674259495151	0	0.2723291823146061	0.0108310975362238	0	0.0029030618913076	193.02515303763536	0	93.80757025195349	19935.18620017111	86.05190754374611	942.360650859891	783.6301660432442	942.860650859891	720.8698339567558	10.32649616515112	19.869662272915296	41677.98064694069	124.98622371849483	119.39460410510745	10.813284069467029	0.0056103230177891	349.07758989049483	3030	333.46059595185125	24.433962264150942	742	3.7513196352239007	4.813622152736286	4.767693438460647	4.859550867011927	87.8723420086965	0.9996338970376517	921.3699612737336	851.2601385196697	921.8699612737336	653.2398614803303	10.32676280688229	19.89476808384332	19935.18620017111	86.05190754374611	11.614	0.0046765854340295	231.66466344789254	1454	159.49906803385724	24.198402130492678	3.739355566411896	4.733106815788236	4.7395318131400055	4.726681818436468	22.492498553670668	0.9999852662159303	940.4544533240677	949.5818361605526	940.9544533240677	554.9181638394474	10.325904623135106	19.928558235771195	5428.932957182018	52.91616078734913	13.026264544840213	0.011512823149303	102.59498943997339	441	43.436250777602076	23.002865329512893	3.713183877002285	4.768208075796117	5.048506367554248	4.487909784037987	348.95844031691223	0.9840127941073314	124.98622371849483	751	124.98622371849483	698
AD Leo_2026-01-19_Light_B_p010_calibrated.fits	10	0	61060.40896037035	2461060.4089603703	NaN	NaN	0	1.377395	NaN	-20	20	NaN	NaN	4.2402446221067365	7.352531725117206	1.3	8	12	20	2.1087734815359704	0	0.2690869722435572	0.0111271327566836	0	0.0030542405162098	189.51634061068546	0	88.10274463174343	20119.029655273345	88.9388949155045	942.8709788362426	784.0186342052001	943.3709788362426	720.4813657947999	10.326494646020945	19.869633796504587	42426.476211276204	169.83362790573574	122.23231297411047	10.803925171090365	0.0057139228508682	347.0970578807781	2009	249.811987969924	23.439767779390422	689	4.303136564142597	5.547128598208948	5.624700484206014	5.469556712211882	342.7414263308612	0.9988482620754914	921.8621113187344	851.7702349869452	922.3621113187344	652.7297650130548	10.326760413917835	19.89477191745598	20119.029655273345	88.9388949155045	11.614	0.0047890663367231	226.21182413371815	1022	118.46316835697688	23.401947148817804	4.2322138069549595	5.453848972378319	5.593584725565943	5.314113219190696	348.6548575131252	0.9969191635475358	940.9827719705769	950.0265682656826	941.4827719705769	554.4734317343174	10.325900973287132	19.92852189459754	5413.768774415843	56.596338318479155	13.039268319876147	0.0122541094488408	95.65581334876225	288	31.87689529555769	22.2907133243607	4.185383495222652	5.514037565014574	5.749095694344674	5.278979435684473	338.17689915161174	0.9861682115470641	169.8336279057358	719	169.83362790573574	743
